date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:34	19627/19627	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jul%202017%2007:24:47%20GMT	https://district-egypt.com/	district-egypt.com/index.html	(from )
10:22:35	70/70	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sun,%2016%20Jul%202017%2007:24:47%20GMT	https://district-egypt.com/robots.txt		(from )
10:22:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:35%20GMT	https://district-egypt.com/wp-content/themes/district/images/logo.png	district-egypt.com/wp-content/themes/district/images/logo.0.delayed	(from https://district-egypt.com/)
10:22:35	12361/12361	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jul%202017%2007:24:47%20GMT	https://district-egypt.com/wp-content/themes/district/images/logo.png	district-egypt.com/wp-content/themes/district/images/logo.png	(from https://district-egypt.com/)
10:22:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:35%20GMT	https://district-egypt.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4	district-egypt.com/wp-content/plugins/contact-form-7/includes/css/styleseb11.css	(from https://district-egypt.com/)
10:22:36	1099/1099	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202017%2007:24:47%20GMT	https://district-egypt.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4	district-egypt.com/wp-content/plugins/contact-form-7/includes/css/styleseb11.css	(from https://district-egypt.com/)
10:22:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:36%20GMT	https://district-egypt.com/wp-content/themes/district/style.css?ver=4.4.10	district-egypt.com/wp-content/themes/district/style7e8a.css	(from https://district-egypt.com/)
10:22:36	186885/186885	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202017%2007:24:47%20GMT	https://district-egypt.com/wp-content/themes/district/style.css?ver=4.4.10	district-egypt.com/wp-content/themes/district/style7e8a.css	(from https://district-egypt.com/)
10:22:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:36%20GMT	https://district-egypt.com/wp-includes/js/jquery/jquery.js?ver=1.11.3	district-egypt.com/wp-includes/js/jquery/jqueryc1d8.js	(from https://district-egypt.com/)
10:22:37	61/61	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jul%202017%2008:22:37%20GMT	https://district-egypt.com/wp-includes/js/jquery/jquery.js?ver=1.11.3	district-egypt.com/wp-includes/js/jquery/jqueryc1d8.js	(from https://district-egypt.com/)
10:22:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:37%20GMT	https://district-egypt.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	district-egypt.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from https://district-egypt.com/)
10:22:37	61/61	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jul%202017%2008:22:37%20GMT	https://district-egypt.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	district-egypt.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from https://district-egypt.com/)
10:22:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:37%20GMT	https://district-egypt.com/xmlrpc.php?rsd	district-egypt.com/xmlrpc0db0.php	(from https://district-egypt.com/)
10:22:37	61/61	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jul%202017%2008:22:37%20GMT	https://district-egypt.com/xmlrpc.php?rsd	district-egypt.com/xmlrpc0db0.php	(from https://district-egypt.com/)
10:22:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:38%20GMT	https://district-egypt.com/wp-includes/wlwmanifest.xml	district-egypt.com/wp-includes/wlwmanifest.xml	(from https://district-egypt.com/)
10:22:38	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Sun,%2016%20Jul%202017%2007:24:47%20GMT	https://district-egypt.com/wp-includes/wlwmanifest.xml	district-egypt.com/wp-includes/wlwmanifest.xml	(from https://district-egypt.com/)
10:22:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:38%20GMT	https://district-egypt.com/wp-admin/admin-ajax.php	district-egypt.com/wp-admin/admin-ajax.php	(from https://district-egypt.com/)
10:22:38	61/61	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jul%202017%2008:22:38%20GMT	https://district-egypt.com/wp-admin/admin-ajax.php	district-egypt.com/wp-admin/admin-ajax.php	(from https://district-egypt.com/)
10:22:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:38%20GMT	https://district-egypt.com/wp-content/uploads/2016/02/logo.png	district-egypt.com/wp-content/uploads/2016/02/logo.png	(from https://district-egypt.com/)
10:22:39	12361/12361	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jul%202017%2007:24:47%20GMT	https://district-egypt.com/wp-content/uploads/2016/02/logo.png	district-egypt.com/wp-content/uploads/2016/02/logo.png	(from https://district-egypt.com/)
10:22:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Jul%202017%2008:22:39%20GMT	https://district-egypt.com/events	district-egypt.com/events	(from https://district-egypt.com/)
10:22:39	61/61	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jul%202017%2008:22:39%20GMT	https://district-egypt.com/events	district-egypt.com/events	(from https://district-egypt.com/)
